                Year,         dMdt(Gt/yr),           sd(Gt/yr),              dM(Gt),              sd(Gt),              data_0,              data_1,              data_2,              data_3,           data_sd_0,           data_sd_1,           data_sd_2,           data_sd_3
         1992.000000,          -27.000000,           65.000000,           -2.250000,            5.416667,         1992.000000,          -27.000000,                 nan,                 nan,         1992.000000,           65.000000,                 nan,                 nan
         1992.083333,           62.000156,           65.000000,            2.916680,           10.833333,         1992.083333,           62.000156,                 nan,                 nan,         1992.083333,           65.000000,                 nan,                 nan
         1992.166667,          100.999844,           65.000000,           11.333333,           16.250000,         1992.166667,          100.999844,                 nan,                 nan,         1992.166667,           65.000000,                 nan,                 nan
         1992.250000,          144.000000,           65.000000,           23.333333,           21.666667,         1992.250000,          144.000000,                 nan,                 nan,         1992.250000,           65.000000,                 nan,                 nan
         1992.333333,          109.000024,           65.000000,           32.416669,           27.083333,         1992.333333,          109.000024,                 nan,                 nan,         1992.333333,           65.000000,                 nan,                 nan
         1992.416667,          114.999976,           65.000000,           42.000000,           32.500000,         1992.416667,          114.999976,                 nan,                 nan,         1992.416667,           65.000000,                 nan,                 nan
         1992.500000,           73.000000,           65.000000,           48.083333,           37.916667,         1992.500000,           73.000000,                 nan,                 nan,         1992.500000,           65.000000,                 nan,                 nan
         1992.583333,           66.000012,           65.000000,           53.583334,           43.333333,         1992.583333,           66.000012,                 nan,                 nan,         1992.583333,           65.000000,                 nan,                 nan
         1992.666667,           68.999988,           65.000000,           59.333333,           48.750000,         1992.666667,           68.999988,                 nan,                 nan,         1992.666667,           65.000000,                 nan,                 nan
         1992.750000,           75.000000,           65.000000,           65.583333,           54.166667,         1992.750000,           75.000000,                 nan,                 nan,         1992.750000,           65.000000,                 nan,                 nan
         1992.833333,           77.999788,           65.000000,           72.083316,           59.583333,         1992.833333,           77.999788,                 nan,                 nan,         1992.833333,           65.000000,                 nan,                 nan
         1992.916667,           25.000212,           65.000000,           74.166667,           65.000000,         1992.916667,           25.000212,                 nan,                 nan,         1992.916667,           65.000000,                 nan,                 nan
         1993.000000,         -135.000000,           65.000000,           62.916667,           70.416667,         1993.000000,         -135.000000,                 nan,                 nan,         1993.000000,           65.000000,                 nan,                 nan
         1993.083333,         -117.999820,           65.000000,           53.083348,           75.833333,         1993.083333,         -117.999820,                 nan,                 nan,         1993.083333,           65.000000,                 nan,                 nan
         1993.166667,          -73.000180,           65.000000,           47.000000,           81.250000,         1993.166667,          -73.000180,                 nan,                 nan,         1993.166667,           65.000000,                 nan,                 nan
         1993.250000,          -50.000000,           65.000000,           42.833333,           86.666667,         1993.250000,          -50.000000,                 nan,                 nan,         1993.250000,           65.000000,                 nan,                 nan
         1993.333333,          -45.000044,           65.000000,           39.083330,           92.083333,         1993.333333,          -45.000044,                 nan,                 nan,         1993.333333,           65.000000,                 nan,                 nan
         1993.416667,          -55.999956,           65.000000,           34.416667,           97.500000,         1993.416667,          -55.999956,                 nan,                 nan,         1993.416667,           65.000000,                 nan,                 nan
         1993.500000,          -65.000000,           65.000000,           29.000000,          102.916667,         1993.500000,          -65.000000,                 nan,                 nan,         1993.500000,           65.000000,                 nan,                 nan
         1993.583333,          -32.000152,           65.000000,           26.333321,          108.333333,         1993.583333,          -32.000152,                 nan,                 nan,         1993.583333,           65.000000,                 nan,                 nan
         1993.666667,          -69.999848,           65.000000,           20.500000,          113.750000,         1993.666667,          -69.999848,                 nan,                 nan,         1993.666667,           65.000000,                 nan,                 nan
         1993.750000,          -76.000000,           65.000000,           14.166667,          119.166667,         1993.750000,          -76.000000,                 nan,                 nan,         1993.750000,           65.000000,                 nan,                 nan
         1993.833333,          -80.000044,           65.000000,            7.499996,          124.583333,         1993.833333,          -80.000044,                 nan,                 nan,         1993.833333,           65.000000,                 nan,                 nan
         1993.916667,          -90.999956,           65.000000,           -0.083333,          130.000000,         1993.916667,          -90.999956,                 nan,                 nan,         1993.916667,           65.000000,                 nan,                 nan
         1994.000000,         -149.000000,           65.000000,          -12.500000,          135.416667,         1994.000000,         -149.000000,                 nan,                 nan,         1994.000000,           65.000000,                 nan,                 nan
         1994.083333,          -35.999792,           65.000000,          -15.499983,          140.833333,         1994.083333,          -35.999792,                 nan,                 nan,         1994.083333,           65.000000,                 nan,                 nan
         1994.166667,           15.999792,           65.000000,          -14.166667,          146.250000,         1994.166667,           15.999792,                 nan,                 nan,         1994.166667,           65.000000,                 nan,                 nan
         1994.250000,           -9.000000,           65.000000,          -14.916667,          151.666667,         1994.250000,           -9.000000,                 nan,                 nan,         1994.250000,           65.000000,                 nan,                 nan
         1994.333333,          -38.000204,           65.000000,          -18.083350,          157.083333,         1994.333333,          -38.000204,                 nan,                 nan,         1994.333333,           65.000000,                 nan,                 nan
         1994.416667,          -88.999796,           65.000000,          -25.500000,          162.500000,         1994.416667,          -88.999796,                 nan,                 nan,         1994.416667,           65.000000,                 nan,                 nan
         1994.500000,         -109.000000,           65.000000,          -34.583333,          167.916667,         1994.500000,         -109.000000,                 nan,                 nan,         1994.500000,           65.000000,                 nan,                 nan
         1994.583333,         -125.000160,           65.000000,          -45.000013,          173.333333,         1994.583333,         -125.000160,                 nan,                 nan,         1994.583333,           65.000000,                 nan,                 nan
         1994.666667,         -164.999840,           65.000000,          -58.750000,          178.750000,         1994.666667,         -164.999840,                 nan,                 nan,         1994.666667,           65.000000,                 nan,                 nan
         1994.750000,         -167.000000,           65.000000,          -72.666667,          184.166667,         1994.750000,         -167.000000,                 nan,                 nan,         1994.750000,           65.000000,                 nan,                 nan
         1994.833333,         -186.000204,           65.000000,          -88.166684,          189.583333,         1994.833333,         -186.000204,                 nan,                 nan,         1994.833333,           65.000000,                 nan,                 nan
         1994.916667,         -236.999796,           65.000000,         -107.916667,          195.000000,         1994.916667,         -236.999796,                 nan,                 nan,         1994.916667,           65.000000,                 nan,                 nan
         1995.000000,         -363.000000,           65.000000,         -138.166667,          200.416667,         1995.000000,         -363.000000,                 nan,                 nan,         1995.000000,           65.000000,                 nan,                 nan
         1995.083333,         -310.999776,           65.000000,         -164.083315,          205.833333,         1995.083333,         -310.999776,                 nan,                 nan,         1995.083333,           65.000000,                 nan,                 nan
         1995.166667,         -255.000224,           65.000000,         -185.333333,          211.250000,         1995.166667,         -255.000224,                 nan,                 nan,         1995.166667,           65.000000,                 nan,                 nan
         1995.250000,         -276.000000,           65.000000,         -208.333333,          216.666667,         1995.250000,         -276.000000,                 nan,                 nan,         1995.250000,           65.000000,                 nan,                 nan
         1995.333333,         -211.999908,           65.000000,         -225.999992,          222.083333,         1995.333333,         -211.999908,                 nan,                 nan,         1995.333333,           65.000000,                 nan,                 nan
         1995.416667,         -189.000092,           65.000000,         -241.750000,          227.500000,         1995.416667,         -189.000092,                 nan,                 nan,         1995.416667,           65.000000,                 nan,                 nan
         1995.500000,         -153.000000,           65.000000,         -254.500000,          232.916667,         1995.500000,         -153.000000,                 nan,                 nan,         1995.500000,           65.000000,                 nan,                 nan
         1995.583333,          -96.999732,           65.000000,         -262.583311,          238.333333,         1995.583333,          -96.999732,                 nan,                 nan,         1995.583333,           65.000000,                 nan,                 nan
         1995.666667,          -30.000268,           65.000000,         -265.083333,          243.750000,         1995.666667,          -30.000268,                 nan,                 nan,         1995.666667,           65.000000,                 nan,                 nan
         1995.750000,          -13.000000,           65.000000,         -266.166667,          249.166667,         1995.750000,          -13.000000,                 nan,                 nan,         1995.750000,           65.000000,                 nan,                 nan
         1995.833333,           -7.000092,           65.000000,         -266.750008,          254.583333,         1995.833333,           -7.000092,                 nan,                 nan,         1995.833333,           65.000000,                 nan,                 nan
         1995.916667,          -29.999908,           65.000000,         -269.250000,          260.000000,         1995.916667,          -29.999908,                 nan,                 nan,         1995.916667,           65.000000,                 nan,                 nan
         1996.000000,          -56.000000,           65.000000,         -273.916667,          265.416667,         1996.000000,          -56.000000,                 nan,                 nan,         1996.000000,           65.000000,                 nan,                 nan
         1996.083333,           81.000360,           65.000000,         -267.166637,          270.833333,         1996.083333,           81.000360,                 nan,                 nan,         1996.083333,           65.000000,                 nan,                 nan
         1996.166667,          170.999640,           65.000000,         -252.916667,          276.250000,         1996.166667,          170.999640,                 nan,                 nan,         1996.166667,           65.000000,                 nan,                 nan
         1996.250000,          152.000000,           65.000000,         -240.250000,          281.666667,         1996.250000,          152.000000,                 nan,                 nan,         1996.250000,           65.000000,                 nan,                 nan
         1996.333333,          176.999924,           65.000000,         -225.500006,          287.083333,         1996.333333,          176.999924,                 nan,                 nan,         1996.333333,           65.000000,                 nan,                 nan
         1996.416667,          158.000076,           65.000000,         -212.333333,          292.500000,         1996.416667,          158.000076,                 nan,                 nan,         1996.416667,           65.000000,                 nan,                 nan
         1996.500000,          156.000000,           65.000000,         -199.333333,          297.916667,         1996.500000,          156.000000,                 nan,                 nan,         1996.500000,           65.000000,                 nan,                 nan
         1996.583333,          109.999800,           65.000000,         -190.166683,          303.333333,         1996.583333,          109.999800,                 nan,                 nan,         1996.583333,           65.000000,                 nan,                 nan
         1996.666667,           60.000200,           65.000000,         -185.166667,          308.750000,         1996.666667,           60.000200,                 nan,                 nan,         1996.666667,           65.000000,                 nan,                 nan
         1996.750000,           28.000000,           65.000000,         -182.833333,          314.166667,         1996.750000,           28.000000,                 nan,                 nan,         1996.750000,           65.000000,                 nan,                 nan
         1996.833333,           13.999820,           65.000000,         -181.666682,          319.583333,         1996.833333,           13.999820,                 nan,                 nan,         1996.833333,           65.000000,                 nan,                 nan
         1996.916667,          -30.999820,           65.000000,         -184.250000,          325.000000,         1996.916667,          -30.999820,                 nan,                 nan,         1996.916667,           65.000000,                 nan,                 nan
         1997.000000,          -79.000000,           65.000000,         -190.833333,          330.416667,         1997.000000,          -79.000000,                 nan,                 nan,         1997.000000,           65.000000,                 nan,                 nan
         1997.083333,          -22.999816,           65.000000,         -192.749985,          335.833333,         1997.083333,          -22.999816,                 nan,                 nan,         1997.083333,           65.000000,                 nan,                 nan
         1997.166667,           22.999816,           65.000000,         -190.833333,          341.250000,         1997.166667,           22.999816,                 nan,                 nan,         1997.166667,           65.000000,                 nan,                 nan
         1997.250000,           19.000000,           65.000000,         -189.250000,          346.666667,         1997.250000,           19.000000,                 nan,                 nan,         1997.250000,           65.000000,                 nan,                 nan
         1997.333333,           26.000044,           65.000000,         -187.083330,          352.083333,         1997.333333,           26.000044,                 nan,                 nan,         1997.333333,           65.000000,                 nan,                 nan
         1997.416667,           36.999956,           65.000000,         -184.000000,          357.500000,         1997.416667,           36.999956,                 nan,                 nan,         1997.416667,           65.000000,                 nan,                 nan
         1997.500000,           10.000000,           65.000000,         -183.166667,          362.916667,         1997.500000,           10.000000,                 nan,                 nan,         1997.500000,           65.000000,                 nan,                 nan
         1997.583333,          -26.999912,           65.000000,         -185.416659,          368.333333,         1997.583333,          -26.999912,                 nan,                 nan,         1997.583333,           65.000000,                 nan,                 nan
         1997.666667,           -5.000088,           65.000000,         -185.833333,          373.750000,         1997.666667,           -5.000088,                 nan,                 nan,         1997.666667,           65.000000,                 nan,                 nan
         1997.750000,           18.000000,           65.000000,         -184.333333,          379.166667,         1997.750000,           18.000000,                 nan,                 nan,         1997.750000,           65.000000,                 nan,                 nan
         1997.833333,           22.999736,           65.000000,         -182.416689,          384.583333,         1997.833333,           22.999736,                 nan,                 nan,         1997.833333,           65.000000,                 nan,                 nan
         1997.916667,          -42.999736,           65.000000,         -186.000000,          390.000000,         1997.916667,          -42.999736,                 nan,                 nan,         1997.916667,           65.000000,                 nan,                 nan
         1998.000000,         -136.000000,           65.000000,         -197.333333,          395.416667,         1998.000000,         -136.000000,                 nan,                 nan,         1998.000000,           65.000000,                 nan,                 nan
         1998.083333,          -94.000024,           65.000000,         -205.166669,          400.833333,         1998.083333,          -94.000024,                 nan,                 nan,         1998.083333,           65.000000,                 nan,                 nan
         1998.166667,          -99.999976,           65.000000,         -213.500000,          406.250000,         1998.166667,          -99.999976,                 nan,                 nan,         1998.166667,           65.000000,                 nan,                 nan
         1998.250000,         -131.000000,           65.000000,         -224.416667,          411.666667,         1998.250000,         -131.000000,                 nan,                 nan,         1998.250000,           65.000000,                 nan,                 nan
         1998.333333,         -141.000016,           65.000000,         -236.166668,          417.083333,         1998.333333,         -141.000016,                 nan,                 nan,         1998.333333,           65.000000,                 nan,                 nan
         1998.416667,         -144.999984,           65.000000,         -248.250000,          422.500000,         1998.416667,         -144.999984,                 nan,                 nan,         1998.416667,           65.000000,                 nan,                 nan
         1998.500000,         -180.000000,           65.000000,         -263.250000,          427.916667,         1998.500000,         -180.000000,                 nan,                 nan,         1998.500000,           65.000000,                 nan,                 nan
         1998.583333,         -175.000020,           65.000000,         -277.833335,          433.333333,         1998.583333,         -175.000020,                 nan,                 nan,         1998.583333,           65.000000,                 nan,                 nan
         1998.666667,         -179.999980,           65.000000,         -292.833333,          438.750000,         1998.666667,         -179.999980,                 nan,                 nan,         1998.666667,           65.000000,                 nan,                 nan
         1998.750000,         -194.000000,           65.000000,         -309.000000,          444.166667,         1998.750000,         -194.000000,                 nan,                 nan,         1998.750000,           65.000000,                 nan,                 nan
         1998.833333,         -181.000104,           65.000000,         -324.083342,          449.583333,         1998.833333,         -181.000104,                 nan,                 nan,         1998.833333,           65.000000,                 nan,                 nan
         1998.916667,         -206.999896,           65.000000,         -341.333333,          455.000000,         1998.916667,         -206.999896,                 nan,                 nan,         1998.916667,           65.000000,                 nan,                 nan
         1999.000000,         -254.000000,           65.000000,         -362.500000,          460.416667,         1999.000000,         -254.000000,                 nan,                 nan,         1999.000000,           65.000000,                 nan,                 nan
         1999.083333,         -145.999760,           65.000000,         -374.666647,          465.833333,         1999.083333,         -145.999760,                 nan,                 nan,         1999.083333,           65.000000,                 nan,                 nan
         1999.166667,          -86.000240,           65.000000,         -381.833333,          471.250000,         1999.166667,          -86.000240,                 nan,                 nan,         1999.166667,           65.000000,                 nan,                 nan
         1999.250000,          -36.000000,           65.000000,         -384.833333,          476.666667,         1999.250000,          -36.000000,                 nan,                 nan,         1999.250000,           65.000000,                 nan,                 nan
         1999.333333,           -8.000092,           65.000000,         -385.500008,          482.083333,         1999.333333,           -8.000092,                 nan,                 nan,         1999.333333,           65.000000,                 nan,                 nan
         1999.416667,          -30.999908,           65.000000,         -388.083333,          487.500000,         1999.416667,          -30.999908,                 nan,                 nan,         1999.416667,           65.000000,                 nan,                 nan
         1999.500000,           -7.000000,           65.000000,         -388.666667,          492.916667,         1999.500000,           -7.000000,                 nan,                 nan,         1999.500000,           65.000000,                 nan,                 nan
         1999.583333,          -14.000072,           65.000000,         -389.833339,          498.333333,         1999.583333,          -14.000072,                 nan,                 nan,         1999.583333,           65.000000,                 nan,                 nan
         1999.666667,          -31.999928,           65.000000,         -392.500000,          503.750000,         1999.666667,          -31.999928,                 nan,                 nan,         1999.666667,           65.000000,                 nan,                 nan
         1999.750000,           -4.000000,           65.000000,         -392.833333,          509.166667,         1999.750000,           -4.000000,                 nan,                 nan,         1999.750000,           65.000000,                 nan,                 nan
         1999.833333,           -3.000348,           65.000000,         -393.083362,          514.583333,         1999.833333,           -3.000348,                 nan,                 nan,         1999.833333,           65.000000,                 nan,                 nan
         1999.916667,          -89.999652,           65.000000,         -400.583333,          520.000000,         1999.916667,          -89.999652,                 nan,                 nan,         1999.916667,           65.000000,                 nan,                 nan
         2000.000000,         -156.000000,           65.000000,         -413.583333,          525.416667,         2000.000000,         -156.000000,                 nan,                 nan,         2000.000000,           65.000000,                 nan,                 nan
         2000.083333,          -88.999724,           65.000000,         -420.999977,          530.833333,         2000.083333,          -88.999724,                 nan,                 nan,         2000.083333,           65.000000,                 nan,                 nan
         2000.166667,          -20.000276,           65.000000,         -422.666667,          536.250000,         2000.166667,          -20.000276,                 nan,                 nan,         2000.166667,           65.000000,                 nan,                 nan
         2000.250000,          -34.000000,           65.000000,         -425.500000,          541.666667,         2000.250000,          -34.000000,                 nan,                 nan,         2000.250000,           65.000000,                 nan,                 nan
         2000.333333,          -40.000192,           65.000000,         -428.833349,          547.083333,         2000.333333,          -40.000192,                 nan,                 nan,         2000.333333,           65.000000,                 nan,                 nan
         2000.416667,          -87.999808,           65.000000,         -436.166667,          552.500000,         2000.416667,          -87.999808,                 nan,                 nan,         2000.416667,           65.000000,                 nan,                 nan
         2000.500000,          -63.000000,           65.000000,         -441.416667,          557.916667,         2000.500000,          -63.000000,                 nan,                 nan,         2000.500000,           65.000000,                 nan,                 nan
         2000.583333,          -86.000052,           65.000000,         -448.583338,          563.333333,         2000.583333,          -86.000052,                 nan,                 nan,         2000.583333,           65.000000,                 nan,                 nan
         2000.666667,          -98.999948,           65.000000,         -456.833333,          568.750000,         2000.666667,          -98.999948,                 nan,                 nan,         2000.666667,           65.000000,                 nan,                 nan
         2000.750000,         -105.000000,           65.000000,         -465.583333,          574.166667,         2000.750000,         -105.000000,                 nan,                 nan,         2000.750000,           65.000000,                 nan,                 nan
         2000.833333,         -109.000136,           65.000000,         -474.666678,          579.583333,         2000.833333,         -109.000136,                 nan,                 nan,         2000.833333,           65.000000,                 nan,                 nan
         2000.916667,         -142.999864,           65.000000,         -486.583333,          585.000000,         2000.916667,         -142.999864,                 nan,                 nan,         2000.916667,           65.000000,                 nan,                 nan
         2001.000000,         -185.000000,           65.000000,         -502.000000,          590.416667,         2001.000000,         -185.000000,                 nan,                 nan,         2001.000000,           65.000000,                 nan,                 nan
         2001.083333,         -197.999700,           65.000000,         -518.499975,          595.833333,         2001.083333,         -197.999700,                 nan,                 nan,         2001.083333,           65.000000,                 nan,                 nan
         2001.166667,         -123.000300,           65.000000,         -528.750000,          601.250000,         2001.166667,         -123.000300,                 nan,                 nan,         2001.166667,           65.000000,                 nan,                 nan
         2001.250000,         -144.000000,           65.000000,         -540.750000,          606.666667,         2001.250000,         -144.000000,                 nan,                 nan,         2001.250000,           65.000000,                 nan,                 nan
         2001.333333,          -98.999864,           65.000000,         -548.999989,          612.083333,         2001.333333,          -98.999864,                 nan,                 nan,         2001.333333,           65.000000,                 nan,                 nan
         2001.416667,          -65.000136,           65.000000,         -554.416667,          617.500000,         2001.416667,          -65.000136,                 nan,                 nan,         2001.416667,           65.000000,                 nan,                 nan
         2001.500000,          -39.000000,           65.000000,         -557.666667,          622.916667,         2001.500000,          -39.000000,                 nan,                 nan,         2001.500000,           65.000000,                 nan,                 nan
         2001.583333,          -91.000084,           65.000000,         -565.250007,          628.333333,         2001.583333,          -91.000084,                 nan,                 nan,         2001.583333,           65.000000,                 nan,                 nan
         2001.666667,         -111.999916,           65.000000,         -574.583333,          633.750000,         2001.666667,         -111.999916,                 nan,                 nan,         2001.666667,           65.000000,                 nan,                 nan
         2001.750000,         -107.000000,           65.000000,         -583.500000,          639.166667,         2001.750000,         -107.000000,                 nan,                 nan,         2001.750000,           65.000000,                 nan,                 nan
         2001.833333,         -112.000312,           65.000000,         -592.833359,          644.583333,         2001.833333,         -112.000312,                 nan,                 nan,         2001.833333,           65.000000,                 nan,                 nan
